"first_name","last_name","gender","date_of_birth"
"Adrien","Brody","M","1973-04-14"
"Chen","Chang","M","1976-10-14"
"Paddy","Considine","M","1973-09-05"
"Darlan","Cunha","M","1988-07-26"
"Paul","Dano","M","1984-06-19"
"Leonardo","DiCaprio","M","1974-11-11"
"Hiroki","Doi","M","1999-08-10"
"Leandro","Firmino","M","1978-06-23"
"James","Franco","M","1978-04-19"
"Dillon","Freasier","M","1996-03-06"
"Tatsuya","Fujiwara","M","1982-05-15"
"Mason","Gamble","M","1986-01-16"
"Andrew","Garfield","M","1983-08-20"
"Kare","Hedebrant","M","1995-06-28"
"Miyu","Irino","M","1988-02-19"
"Takeshi","Kaneshiro","M","1973-10-11"
"Jude","Law","M","1972-12-29"
"Danny","Lloyd","M","1972-10-13"
"Tobey","Maguire","M","1975-06-27"
"Joaquin","Phoenix","M","1974-10-28"
"Tony","Revolori","M","1996-04-28"
"Craig","Roberts","M","1991-01-21"
"Alexandre","Rodrigues","M","1983-05-21"
"Jason","Schwartzmann","M","1980-06-26"
"Suraj","Sharma","M","1993-03-21"
"Douglas","Silva","M","1988-09-27"
"Rafe","Spall","M","1983-03-10"
"Chris","Tucker","M","1971-08-31"
"Luke","Wilson","M","1971-09-21"
"Patrick","Wilson","M","1973-07-03"
"Ji-tae","Yoo","M","1976-04-13"
